iter	Logloss
0	0.3927853517
1	0.3418311908
2	0.3283305159
3	0.3229832725
4	0.3210114582
5	0.3194593421
6	0.3181971739
7	0.3175935137
8	0.3171998502
9	0.3167735817
10	0.3157507628
11	0.3154876841
12	0.3151660011
13	0.314855466
14	0.3145482469
15	0.3144458413
16	0.3140948958
17	0.3137374349
18	0.3135187851
19	0.3132652382
20	0.3130051408
21	0.3127919075
22	0.3125816753
23	0.3123208314
24	0.3121434464
25	0.3118471044
26	0.311498233
27	0.3112710576
28	0.310978353
29	0.3106399514
30	0.3103795149
31	0.3100568609
32	0.3098420819
33	0.3095797166
34	0.3092218088
35	0.3089911171
36	0.308729245
37	0.3085156241
38	0.3083103835
39	0.3080187425
40	0.3078824218
41	0.3076099853
42	0.3073595165
43	0.3071240049
44	0.3068777638
45	0.3066737253
46	0.30642757
47	0.3061811131
48	0.3059373115
49	0.3056736053
50	0.305527962
51	0.3053314826
52	0.3050875291
53	0.3049386205
54	0.30473901
55	0.3044891269
56	0.3041954624
57	0.3040222696
58	0.3038173791
59	0.3035227612
60	0.3032861266
61	0.3030695928
62	0.3028419572
63	0.3027146839
64	0.3025315938
65	0.3023062812
66	0.3020597163
67	0.3017908666
68	0.3015886601
69	0.3013984603
70	0.3012062678
71	0.301033729
72	0.3009039478
73	0.300730711
74	0.3005348745
75	0.3003710462
76	0.3001765814
77	0.2999041515
78	0.2997036382
79	0.2995512419
80	0.2993323983
81	0.2991292076
82	0.2989187243
83	0.2987346346
84	0.2985072302
85	0.2983575884
86	0.2982355467
87	0.2980716193
88	0.2978719142
89	0.2976652555
90	0.2974931109
91	0.2972877073
92	0.2971175971
93	0.2969304182
94	0.2967665481
95	0.2965533544
96	0.296412826
97	0.2962965906
98	0.2960791936
99	0.2958748535
