iter	Passed	Remaining
0	4	478
1	9	452
2	13	434
3	17	427
4	22	418
5	26	410
6	30	404
7	35	402
8	40	408
9	45	408
10	49	402
11	54	400
12	58	390
13	62	381
14	66	376
15	70	370
16	74	364
17	78	357
18	83	355
19	87	351
20	91	343
21	95	338
22	100	335
23	105	332
24	109	329
25	114	326
26	119	323
27	124	320
28	129	317
29	135	315
30	139	311
31	145	308
32	149	303
33	154	299
34	158	293
35	162	288
36	166	284
37	171	279
38	175	274
39	179	269
40	183	264
41	187	259
42	191	253
43	195	248
44	199	244
45	203	239
46	207	234
47	211	229
48	215	224
49	219	219
50	223	214
51	227	209
52	231	205
53	235	200
54	239	196
55	243	191
56	248	187
57	252	182
58	256	178
59	260	173
60	264	169
61	269	164
62	272	160
63	276	155
64	280	151
65	284	146
66	288	142
67	292	137
68	296	133
69	300	128
70	304	124
71	308	120
72	313	116
73	318	111
74	322	107
75	326	103
76	330	98
77	334	94
78	339	90
79	343	85
80	347	81
81	351	77
82	355	72
83	359	68
84	363	64
85	367	59
86	371	55
87	375	51
88	379	46
89	383	42
90	387	38
91	391	34
92	395	29
93	399	25
94	403	21
95	407	16
96	411	12
97	414	8
98	418	4
99	423	0
