iter	Passed	Remaining
0	4	46206
1	9	47139
2	14	47236
3	18	45874
4	22	45795
5	27	45589
6	31	45573
7	36	46080
8	41	46210
9	46	46144
10	50	46204
11	55	46132
12	60	46263
13	64	45915
14	69	46007
15	73	45874
16	78	45889
17	82	45699
18	86	45361
19	91	45478
20	95	45472
21	99	45170
22	103	45096
23	108	44943
24	112	44949
25	116	44877
26	120	44627
27	124	44369
28	128	44201
29	132	44088
30	137	44220
31	141	44081
32	146	44119
33	150	44154
34	154	44092
35	159	44052
36	163	43937
37	167	43832
38	171	43899
39	175	43823
40	180	43757
41	184	43771
42	189	43849
43	194	43919
44	198	43970
45	203	44112
46	208	44189
47	213	44212
48	217	44235
49	222	44238
50	226	44243
51	231	44337
52	236	44417
53	241	44514
54	246	44560
55	251	44575
56	255	44644
57	260	44658
58	265	44711
59	270	44742
60	274	44784
61	279	44755
62	284	44842
63	290	45038
64	295	45122
65	299	45116
66	304	45147
67	309	45248
68	314	45245
69	319	45264
70	323	45277
71	329	45398
72	334	45428
73	339	45526
74	344	45625
75	349	45679
76	354	45683
77	359	45678
78	364	45722
79	369	45789
80	374	45813
81	379	45894
82	384	45941
83	389	45969
84	394	45997
85	399	46049
86	403	46027
87	408	46022
88	413	45991
89	417	46002
90	422	45982
91	426	45982
92	431	45999
93	436	45987
94	440	45977
95	445	45960
96	449	45918
97	454	45894
98	458	45838
99	462	45766
100	467	45778
101	471	45756
102	475	45729
103	480	45709
104	484	45671
105	489	45688
106	493	45641
107	498	45622
108	502	45572
109	506	45583
110	510	45523
111	515	45493
112	519	45454
113	523	45425
114	528	45435
115	532	45367
116	536	45360
117	541	45365
118	545	45310
119	550	45286
120	554	45273
121	558	45229
122	563	45214
123	566	45154
124	571	45120
125	575	45099
126	579	45058
127	584	45053
128	589	45089
129	593	45073
130	598	45087
131	603	45091
132	607	45090
133	612	45084
134	617	45086
135	621	45077
136	626	45071
137	631	45097
138	635	45119
139	640	45141
140	645	45154
141	650	45153
142	654	45124
143	659	45119
144	664	45143
145	668	45149
146	673	45125
147	678	45141
148	682	45139
149	688	45201
150	693	45249
151	698	45280
152	703	45286
153	708	45274
154	713	45291
155	717	45272
156	722	45272
157	726	45284
158	731	45280
159	736	45297
160	741	45333
161	746	45337
162	751	45334
163	755	45316
164	759	45300
165	764	45313
166	769	45305
167	773	45291
168	778	45268
169	783	45319
170	788	45327
171	793	45323
172	797	45322
173	802	45329
174	807	45346
175	811	45316
176	816	45296
177	820	45276
178	824	45248
179	828	45217
180	833	45219
181	838	45206
182	842	45188
183	846	45176
184	851	45184
185	856	45209
186	861	45210
187	866	45208
188	870	45187
189	874	45170
190	880	45197
191	885	45210
192	889	45214
193	894	45197
194	899	45224
195	904	45254
196	909	45255
197	913	45236
198	918	45225
199	922	45187
200	926	45185
201	931	45175
202	935	45153
203	940	45162
204	945	45159
205	949	45134
206	953	45120
207	958	45122
208	963	45124
209	967	45120
210	971	45066
211	976	45067
212	980	45074
213	985	45046
214	989	45050
215	994	45066
216	999	45068
217	1004	45094
218	1009	45099
219	1013	45074
220	1018	45087
221	1023	45084
222	1027	45065
223	1032	45040
224	1036	45042
225	1041	45050
226	1046	45053
227	1050	45025
228	1054	45003
229	1059	44997
230	1063	44970
231	1067	44952
232	1073	44998
233	1085	45293
234	1098	45628
235	1104	45694
236	1109	45704
237	1116	45795
238	1123	45899
239	1129	45929
240	1134	45953
241	1139	45953
242	1144	45938
243	1148	45907
244	1152	45905
245	1157	45900
246	1162	45891
247	1166	45877
248	1170	45844
249	1175	45837
250	1180	45850
251	1185	45846
252	1189	45844
253	1195	45861
254	1199	45855
255	1204	45859
256	1209	45854
257	1214	45848
258	1219	45847
259	1223	45842
260	1228	45843
261	1233	45838
262	1238	45839
263	1242	45824
264	1246	45807
265	1251	45784
266	1255	45780
267	1260	45762
268	1264	45747
269	1269	45736
270	1274	45739
271	1278	45728
272	1282	45707
273	1287	45700
274	1291	45675
275	1295	45653
276	1300	45651
277	1304	45633
278	1309	45610
279	1312	45579
280	1317	45576
281	1322	45563
282	1326	45546
283	1330	45521
284	1334	45505
285	1338	45454
286	1342	45423
287	1346	45408
288	1351	45415
289	1356	45425
290	1361	45421
291	1365	45398
292	1369	45382
293	1373	45357
294	1378	45338
295	1382	45309
296	1386	45299
297	1390	45281
298	1394	45249
299	1399	45235
300	1404	45244
301	1408	45216
302	1412	45196
303	1416	45178
304	1421	45169
305	1425	45159
306	1429	45147
307	1434	45151
308	1440	45166
309	1445	45176
310	1450	45174
311	1454	45162
312	1459	45174
313	1464	45184
314	1469	45185
315	1474	45185
316	1479	45183
317	1484	45200
318	1489	45199
319	1494	45202
320	1499	45207
